ID,Name,Form,IsCaught,IsShiny
1,이상해씨,Normal,TRUE,FALSE
2,이상해풀,Normal,TRUE,FALSE
3,이상해꽃,Normal,FALSE,FALSE
4,파이리,Normal,TRUE,TRUE
5,리자드,Normal,FALSE,FALSE
6,리자몽,Normal,FALSE,FALSE
7,꼬부기,Normal,FALSE,FALSE
8,어니부기,Normal,FALSE,FALSE
9,거북왕,Normal,FALSE,FALSE
10,캐터피,Normal,FALSE,FALSE
11,단데기,Normal,FALSE,FALSE
12,버터플,Normal,FALSE,FALSE
13,뿔충이,Normal,FALSE,FALSE
14,딱충이,Normal,FALSE,FALSE
15,독침붕,Normal,FALSE,FALSE
16,구구,Normal,FALSE,FALSE
17,피죤,Normal,FALSE,FALSE
18,피죤투,Normal,FALSE,FALSE
19,꼬렛,Normal,FALSE,FALSE
20,레트라,Normal,FALSE,FALSE
21,깨비참,Normal,FALSE,FALSE
22,깨비드릴조,Normal,FALSE,FALSE
23,아보,Normal,FALSE,FALSE
24,아보크,Normal,FALSE,FALSE
25,피카츄,Normal,FALSE,FALSE
26,라이츄,Normal,FALSE,FALSE
27,모래두지,Normal,FALSE,FALSE
28,고지,Normal,FALSE,FALSE
29,니드런(암컷),Normal,FALSE,FALSE
30,니드리나,Normal,FALSE,FALSE
31,니드퀸,Normal,FALSE,FALSE
32,니드런(수컷),Normal,FALSE,FALSE
33,니드리노,Normal,FALSE,FALSE
34,니드킹,Normal,FALSE,FALSE
35,삐삐,Normal,FALSE,FALSE
36,픽시,Normal,FALSE,FALSE
37,식스테일,Normal,FALSE,FALSE
38,나인테일,Normal,FALSE,FALSE
39,푸린,Normal,FALSE,FALSE
40,푸크린,Normal,FALSE,FALSE
41,주뱃,Normal,FALSE,FALSE
42,골뱃,Normal,FALSE,FALSE
43,뚜벅쵸,Normal,FALSE,FALSE
44,냄새꼬,Normal,FALSE,FALSE
45,라플레시아,Normal,FALSE,FALSE
46,파라스,Normal,FALSE,FALSE
47,파라섹트,Normal,FALSE,FALSE
48,콘팡,Normal,FALSE,FALSE
49,도나리,Normal,FALSE,FALSE
50,디그다,Normal,FALSE,FALSE
51,닥트리오,Normal,FALSE,FALSE
52,나옹,Normal,FALSE,FALSE
53,페르시온,Normal,FALSE,FALSE
54,고라파덕,Normal,FALSE,FALSE
55,골덕,Normal,FALSE,FALSE
56,망키,Normal,FALSE,FALSE
